lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
597.143,28201.548,24214.731,26208.139499999997,150.129,26358.577,47160.154,38153.096,34695.135,25793.817,28985.058,33256.471,31505.827,29015.452,26918.577,24947.875,36121.75,26456.173,30110.721,27825.49,27564.183
597.271,28185.785,24161.115,26173.45,149.559,26370.298,47102.269,38212.106,34655.635,25798.067,28966.933,33227.144,31457.798,29037.644,26932.817,25039.404,36132.394,26430.769,30154.519,27829.067,27590.712
597.399,28322.484,24296.942,26309.713,140.441,26441.173,47308.279,38343.49,34877.327,25971.481,29146.471,33437.077,31665.712,29140.827,27047.952,25155.712,36248.154,26586.0,30292.462,27934.212,27706.606
597.527,28251.258,24235.375,26243.3165,155.29,26425.99,47013.212,38178.942,34757.981,25873.433,29054.644,33310.385,31571.75,29103.279,27014.606,25052.587,36172.25,26530.942,30143.433,27876.952,27634.846
597.655,28226.817,24247.5,26237.158499999998,139.538,26418.933,47322.173,38294.856,34807.798,25930.096,29083.154,33341.548,31563.24,29156.904,27045.923,25093.99,36166.731,26607.019,30215.827,27926.029,27704.365
597.783,28311.914,24257.981,26284.947500000002,143.441,26495.615,47171.894,38324.885,34847.529,25949.952,29144.038,33381.529,31667.596,29172.019,27083.346,25114.192,36222.231,26623.587,30271.731,27980.769,27690.923
597.912,28293.452,24232.298,26262.875,142.118,26460.654,47251.702,38236.212,34833.038,25928.163,29075.663,33349.375,31594.24,29194.587,27120.346,25121.077,36164.25,26579.99,30206.221,27969.471,27676.163
598.04,28379.452,24290.385,26334.9185,148.183,26507.404,47266.904,38319.663,34868.673,25990.317,29223.135,33451.24,31692.596,29173.221,27126.99,25137.365,36225.01,26619.327,30236.279,28046.404,27749.337
598.168,28303.527,24253.115,26278.321,145.462,26515.865,47227.25,38306.375,34821.394,25973.654,29116.577,33434.038,31688.25,29223.019,27119.817,25151.846,36176.25,26578.683,30220.856,27970.933,27752.442
598.296,28267.925,24183.49,26225.7075,139.688,26422.923,47178.808,38336.115,34828.01,25895.481,29076.106,33341.962,31603.231,29191.337,27059.875,25093.817,36075.529,26526.24,30159.404,27912.923,27617.654
598.424,28438.645,24361.952,26400.2985,150.28,26595.635,47415.212,38409.904,35015.731,26095.356,29248.269,33509.481,31777.846,29259.567,27284.923,25220.413,36235.25,26677.615,30325.346,28069.038,27828.731
598.552,28261.699,24204.654,26233.1765,142.054,26403.462,47263.702,38344.462,34815.0,25937.875,29067.875,33343.433,31619.212,29163.721,27087.144,25033.327,36048.933,26523.529,30080.423,27915.74,27678.375
598.68,28307.258,24247.317,26277.2875,139.828,26411.49,47196.846,38319.51,34838.596,25992.673,29096.404,33430.971,31640.413,29155.327,27131.192,25105.769,36045.01,26528.529,30169.413,27939.808,27706.308
598.808,28335.71,24313.327,26324.5185,138.903,26569.327,47315.798,38479.808,35015.24,26095.952,29231.442,33562.096,31765.356,29307.404,27305.346,25243.529,36147.5,26655.49,30240.038,28050.577,27832.356
598.937,28307.505,24292.0,26299.752500000002,142.452,26468.856,47270.058,38409.5,34935.038,26022.981,29166.01,33445.106,31668.481,29248.346,27176.788,25139.481,36072.423,26638.644,30129.327,27983.221,27749.135
599.065,28315.043,24261.096,26288.0695,158.656,26448.144,47283.615,38328.317,34932.221,26005.106,29102.635,33392.962,31687.413,29223.067,27195.202,25084.25,35984.692,26601.981,30086.404,27987.192,27692.817
599.193,28319.086,24303.096,26311.091,148.763,26468.75,47206.125,38458.048,34945.096,26081.462,29126.769,33481.356,31700.856,29276.99,27279.798,25153.298,36033.404,26642.288,30142.894,28025.337,27746.885
599.321,28350.978,24284.192,26317.585,143.355,26551.442,47367.231,38451.058,34953.981,26067.288,29127.904,33495.356,31702.971,29286.933,27270.154,25146.99,36028.923,26636.327,30169.413,27991.74,27749.875
599.449,28222.495,24222.625,26222.559999999998,140.398,26475.135,47156.702,38348.192,34891.442,25996.26,29052.288,33363.452,31647.192,29243.077,27245.356,25097.788,35918.077,26551.125,30078.154,27931.654,27683.029
599.577,28196.849,24212.279,26204.564,139.688,26366.971,47205.644,38348.933,34845.75,25988.365,29054.596,33420.087,31610.183,29175.221,27194.577,25082.827,35870.731,26554.298,30033.394,27934.529,27667.317
599.705,28194.151,24192.635,26193.393,147.946,26389.144,47228.808,38346.269,34867.288,25993.923,28972.212,33379.712,31625.442,29191.433,27223.346,25049.423,35866.154,26557.644,29986.817,27895.346,27632.096
599.833,28127.387,24170.644,26149.0155,148.978,26374.202,47135.481,38341.51,34845.788,25977.769,28980.375,33374.942,31550.808,29184.067,27181.913,25017.173,35804.346,26471.183,29949.683,27858.327,27638.731
599.962,28141.462,24108.587,26125.0245,142.785,26347.558,47141.75,38288.798,34850.077,25935.663,28902.413,33368.933,31569.769,29172.01,27154.865,24944.067,35753.163,26501.433,29883.01,27838.26,27571.471
