Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2970;0.098800;0.739177;0.877458;0.873172;0.544890
2980;1.993779;1.710101;1.053414;2.203239;1.262730
2990;0.967632;0.889080;1.053540;0.825066;1.093913
3000;0.308023;0.842415;1.194346;1.269988;0.261546
3010;1.507895;1.425427;0.503823;1.307523;0.627579
3020;0.873148;0.444324;0.749296;1.937913;0.902893
3030;1.259280;1.638457;0.568551;0.482879;2.417264
3040;1.460736;1.469112;1.264120;1.032120;0.113980
3050;0.022446;1.300823;-0.400028;1.372755;-0.201505
3060;1.483918;2.324836;1.693041;1.622827;0.774249
3070;1.570467;1.344595;0.571059;-0.498772;1.433945
3080;1.709581;2.216291;-0.176726;1.218183;1.035477
3090;1.341507;1.419877;0.307227;0.930395;0.888637
3100;2.395215;1.420448;1.919279;0.948439;1.530371
3110;1.124729;0.811864;1.209085;0.479237;0.186091
3120;0.775390;0.776606;1.072522;0.852172;1.595122
3130;0.314942;0.781129;0.816892;0.745857;1.008398
3140;0.821484;-0.860059;0.805893;1.232463;1.169708
3150;1.138651;0.391120;-0.162050;0.256213;1.242486
3160;1.106370;0.568450;0.307899;0.788198;0.838753
3170;1.183200;0.365336;0.991425;0.974935;1.147936
3180;0.499065;1.519701;0.663377;1.584846;1.368236
3190;0.925347;0.900876;0.302935;1.967429;1.558762
3200;1.889975;1.371188;0.489638;1.275767;1.509762
3210;1.084849;0.246496;1.390723;1.052127;0.990262
3220;1.540132;0.695981;1.121873;0.335178;0.584494
3230;2.336041;0.516515;0.779330;0.461224;1.390784
3240;-0.096497;0.559883;1.191404;-0.350213;1.071616
3250;1.052238;1.863168;1.026020;0.964859;0.303625
3260;1.050982;1.261388;-0.486051;1.452835;0.523849
3270;1.145847;1.028515;0.278336;0.564617;0.792899
3280;0.621167;2.127760;-0.270658;1.760782;1.944931
3290;0.514979;0.320542;1.650763;1.624309;0.925397
3300;1.183899;1.222445;1.268085;1.890020;1.678467
3310;0.355813;1.421016;-0.440587;1.145910;0.863296
3320;1.144064;0.979788;1.754658;-0.368520;1.525736
3330;0.634567;0.892605;0.409711;1.317194;0.286785
3340;-0.795356;0.684980;1.300470;0.024151;-0.428248
3350;1.613230;0.900739;1.166941;1.139349;1.106095
3360;1.380925;1.411217;0.550402;0.140038;0.362155
3370;0.468041;1.191872;1.675772;0.468371;0.884767
3380;-0.589054;0.365761;0.208293;0.037083;0.567756
3390;1.528949;0.628165;0.991709;1.190638;1.638324
3400;-0.609523;0.283560;0.080525;2.455649;0.658346
3410;1.527635;1.334091;0.390167;1.400182;1.382647
3420;-0.122319;1.618693;0.183445;1.263516;0.963645
3430;1.306638;1.427708;1.085144;0.645177;0.877565
3440;1.612644;-0.100607;0.743149;1.914741;0.844727
3450;-0.196799;-0.353832;1.384644;0.940221;0.914581
3460;0.174597;-0.087360;-0.455157;0.567068;0.626209
3470;0.924328;-0.007317;0.285562;0.640654;0.768737
3480;0.488833;1.093382;0.229878;1.795989;0.798189
3490;1.207944;0.600058;1.692510;0.281862;0.757975
3500;0.691763;0.143232;-0.707623;1.499095;1.766006
3510;-0.046141;0.808190;1.116470;0.547249;0.270294
3520;0.734271;1.249404;0.693629;1.122561;0.374092
3530;0.881627;1.179745;1.262573;1.666583;0.747761
3540;0.831290;1.314511;0.748114;0.703025;1.686456
3550;0.730877;0.193214;1.397945;0.477874;0.015535
3560;-1.235189;1.133501;0.548666;0.617289;-0.763689
3570;0.297662;-0.040469;0.399314;1.372971;0.665954
3580;1.202715;-0.141967;0.365390;0.145241;1.038664
3590;1.014644;0.598003;-0.581919;0.162194;0.769286
3600;1.316563;0.673563;0.205211;0.643144;0.209228
3610;1.441490;0.919618;1.226098;1.306162;0.463711
3620;-0.679718;0.813106;0.309271;0.630290;-0.020708
3630;0.657768;-0.081751;0.602655;-0.028884;-0.495185
3640;0.602115;1.060930;0.136836;-0.031038;1.091928
3650;0.408081;1.080759;0.800904;1.079271;1.042908
3660;0.740925;0.957390;1.115196;0.282888;0.807332
3670;-0.692508;0.670105;0.812741;0.346129;0.727545
3680;0.584837;-0.015063;0.288995;0.447068;1.136932
3690;0.161762;0.884696;-0.309322;0.365377;0.643904
3700;0.494931;1.150717;0.372613;0.371327;-1.117701
3710;0.218625;0.357882;0.968508;0.200562;0.357768
3720;1.332249;0.131738;0.603769;1.920022;-0.489132
3730;1.058806;-0.085162;-0.548511;0.624600;0.156513
3740;0.527656;0.348492;0.730986;1.295690;1.513049
3750;0.340632;0.026663;-0.474092;0.313757;0.678045
3760;-0.096542;1.343550;0.853610;0.288547;0.705646
3770;0.370143;1.033497;0.700197;0.146582;-0.127602
3780;0.825899;0.620954;0.619397;0.811702;0.181181
3790;0.118515;1.032499;0.569322;1.529243;0.866719
3800;0.731510;0.950115;0.338310;0.428391;0.610890
3810;-0.345336;0.787909;0.637072;0.444329;0.223515
3820;1.116364;-0.133893;-0.069697;0.123721;1.454370
3830;0.783172;1.392839;0.597168;0.320895;-0.670628
3840;0.938441;-0.068486;-0.395567;0.709619;0.477558
3850;2.514188;-0.274556;0.373509;0.106452;0.678279
3860;0.378868;0.889696;0.106357;0.430284;-0.274056
3870;0.711602;0.522846;-0.018950;0.799448;0.281593
3880;0.088267;-0.093865;1.171567;0.465611;0.068055
3890;0.637618;0.217201;-0.457472;0.477271;-0.077603
3900;0.168450;0.882850;1.682600;0.759233;0.936089
3910;0.071973;0.677673;0.488185;0.689334;-0.319712
3920;0.067206;1.391237;0.896738;-0.012503;0.598014
3930;0.062861;0.064111;0.275555;1.525925;1.125991
3940;0.044787;1.141217;0.883994;0.233935;0.501654
3950;0.499227;0.815119;0.606902;0.411774;0.168573
3960;0.396264;-0.418407;0.700828;0.458825;0.912795
3970;0.259143;1.131748;-0.420966;-0.365860;0.198476
3980;0.403807;0.086064;0.462271;0.629086;0.566580
3990;0.253954;-0.319372;-0.254124;0.320220;0.666461
4000;0.832299;0.598539;0.658821;-0.221072;-0.275730
4010;0.291540;0.401267;0.241171;0.992257;0.850431
4020;0.174703;0.069680;1.749406;0.024160;0.160920
4030;-0.299707;0.122640;-0.366449;0.191687;-0.502542
4040;-0.050793;-0.203049;-0.260616;-0.467003;-0.060309
4050;0.957771;1.079981;0.399787;-0.531755;-0.155130
4060;1.312412;0.430274;0.162754;-0.507189;0.775081
4070;-0.481238;0.134190;-0.115427;1.165021;-0.392755
4080;-0.508869;0.989215;0.251916;0.089318;-0.061983
4090;1.060179;0.862007;0.037049;-0.044448;0.111251
4100;0.124068;-0.242520;0.006889;1.054709;0.740228
4110;0.973968;0.249982;0.598848;-0.406257;1.219797
4120;-0.015058;-0.154191;0.656421;1.233617;-0.703846
4130;0.027142;-0.012908;0.833233;0.314144;-0.409719
4140;-0.193255;0.871540;-0.862947;0.192837;0.228770
4150;0.317523;0.853037;0.962506;0.698608;0.704158
4160;0.510705;0.560847;0.520353;0.705155;1.915005
4170;0.744565;-0.659728;0.455614;0.026303;0.438106
4180;0.324129;0.752270;0.571734;1.280007;0.067655
4190;0.843611;0.221177;0.004737;0.183136;0.862877
4200;0.394754;1.163266;-0.477528;-0.025441;-0.758890
