Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
3400;1.033549;1.043790;-0.093058;1.088167;1.039836
3410;0.293264;0.781276;1.390954;1.073490;1.943599
3420;0.329144;1.313914;1.229606;0.947109;1.433179
3430;0.644953;1.009686;1.375441;0.795808;0.324573
3440;0.636342;0.857351;0.975258;0.820093;0.741267
3450;1.383348;-0.062126;1.317856;1.174336;0.587703
3460;1.156587;1.054933;1.206063;1.322265;0.896317
3470;1.166083;0.293020;0.800982;1.495169;0.744581
3480;0.932919;1.512175;1.205209;0.332940;1.038116
3490;1.205651;0.719970;0.817053;1.475194;1.043985
3500;1.261302;1.819098;1.113600;0.969133;0.675141
3510;0.867473;0.747092;0.631512;1.305669;1.098873
3520;1.243188;0.786810;0.561186;0.139499;1.063004
3530;0.145506;0.659192;1.086597;0.817502;1.393525
3540;0.923988;1.216490;0.875866;0.832335;1.827421
3550;0.889975;1.670897;0.742046;0.463570;0.807408
3560;0.721701;1.065289;1.384739;1.155370;1.021690
3570;0.887762;0.804013;0.790430;0.369411;1.360894
3580;1.027978;1.052945;1.049455;1.388856;1.283470
3590;1.557432;1.537928;0.834090;0.963045;0.269166
3600;1.228777;1.471327;0.701979;0.796350;1.299413
3610;1.326687;1.500446;1.658900;0.917562;1.194701
3620;1.429092;0.919127;1.190812;0.877667;1.052191
3630;0.769101;0.727094;1.069203;1.397996;1.402369
3640;0.770959;-0.183875;0.889149;0.545138;1.321848
3650;1.153375;0.438026;1.048988;1.041500;1.088806
3660;1.112134;1.357168;0.448816;1.230151;0.989297
3670;1.226543;0.666855;0.854027;0.847656;0.927110
3680;0.975546;0.600282;0.689217;0.864235;1.277468
3690;0.793481;1.486202;0.591121;1.111851;0.593609
3700;0.997784;1.252946;0.235908;1.478683;0.643858
3710;1.195633;1.294261;1.177235;0.732643;0.850409
3720;0.683848;0.993220;1.009584;0.989944;0.725686
3730;0.850960;0.535577;1.129763;0.680468;0.619667
3740;0.300838;0.690856;0.665039;1.120888;0.650835
3750;1.086018;1.176117;2.089083;0.612174;0.942836
3760;1.477249;0.522071;1.000738;0.636139;0.790793
3770;1.399480;0.992807;1.511199;0.647648;0.705333
3780;0.994953;1.073485;0.333827;1.088506;0.593951
3790;0.549815;1.382794;1.047991;0.946013;0.220162
3800;1.241653;1.007228;0.758087;0.641686;0.544587
3810;1.998152;1.001726;0.769549;0.548418;1.037839
3820;0.943955;0.963883;1.229231;0.885512;0.536247
3830;1.388259;1.648630;1.195482;0.910237;1.207450
3840;-0.066438;0.817658;1.329280;1.254266;1.166482
3850;1.329165;0.984853;0.887297;0.728049;0.420329
3860;0.403613;0.618183;0.755859;1.251495;1.232681
3870;0.723489;1.638692;0.987361;0.491331;1.045896
3880;1.355617;0.964927;1.480463;0.622564;1.141541
3890;1.444241;1.315833;0.726826;0.200023;0.427996
3900;1.133070;0.410900;0.452943;0.715942;1.672445
3910;1.854575;1.003598;0.714930;0.813462;1.041185
3920;0.882548;1.338574;1.519961;1.261838;0.893861
3930;1.233575;0.557292;1.257995;1.021577;1.071914
3940;1.088679;0.796519;0.068358;0.848335;0.058732
3950;-0.118760;1.151623;1.180871;1.199572;1.241199
3960;1.588923;1.078718;1.485664;0.821629;0.923528
3970;0.961027;0.907150;1.012397;1.292984;0.685978
3980;1.073110;0.964500;1.033508;0.994688;0.567138
3990;0.586700;1.604477;0.985133;0.701337;0.954455
4000;0.564237;0.898525;0.845307;0.888482;1.257641
4010;1.416122;1.716762;1.134230;1.032847;1.200270
4020;1.148391;0.642745;0.631806;0.947809;1.079316
4030;1.156609;0.908115;1.703649;1.041494;1.013419
4040;1.275645;1.449320;1.722424;1.108001;0.693463
4050;0.728220;0.904584;0.843761;0.596553;0.922480
4060;1.194370;0.483753;0.919932;1.322313;0.929674
4070;0.771916;1.261092;0.832125;0.708774;1.439376
4080;0.970838;1.293365;1.050847;1.067705;1.052494
4090;1.002246;0.863498;1.197608;1.111921;1.197693
4100;1.344655;0.061152;0.605731;0.507817;1.264918
4110;1.210041;0.938738;1.711649;0.911633;0.949710
4120;1.515074;1.402160;1.570051;0.901400;1.569583
4130;0.877744;0.564946;0.750971;0.549802;0.158844
4140;1.106129;0.530569;0.991803;2.182671;0.908325
4150;1.249085;0.855297;1.535597;0.726104;1.126474
4160;0.470368;1.094309;0.753807;1.173948;1.290085
4170;1.666617;0.647997;1.069483;1.129583;1.172551
4180;0.502181;0.523218;0.931109;1.552437;0.885655
4190;0.570945;1.128384;1.417146;0.976384;1.168800
4200;1.333900;0.813715;0.622895;0.770335;1.506258
4210;1.561400;0.814947;0.893432;0.817633;0.770604
4220;0.360731;1.342841;0.725812;1.161388;1.304129
4230;1.331838;0.591544;0.925747;1.275088;0.613962
4240;0.846203;0.319050;0.815508;1.075194;0.341984
4250;1.101695;0.890664;1.382216;0.328469;0.792946
4260;0.881454;1.069148;0.730545;0.563751;0.813175
4270;1.037313;1.249940;0.527285;1.146644;0.654885
4280;1.225457;0.976007;1.020896;0.489937;1.236433
4290;0.555137;1.136974;1.934873;0.668405;0.834481
4300;0.297418;1.229844;1.085345;0.509561;1.024460
4310;1.262000;0.868058;1.569275;0.666698;0.663706
4320;1.122276;-0.079894;0.955735;1.562502;1.525992
4330;1.571562;1.518424;0.371224;1.387794;1.441110
4340;0.249094;0.945676;1.387234;1.413622;0.586734
4350;1.227864;1.261250;0.968693;1.480647;1.077352
4360;1.221563;0.524737;1.275686;0.833532;0.601980
4370;0.867806;1.365457;0.065798;1.115943;1.491112
4380;0.948369;0.971029;1.261014;1.194954;1.055759
4390;1.211076;1.360908;1.098425;0.785929;0.104641
4400;1.423627;0.812382;0.547364;1.314475;0.589757
4410;0.466182;0.686372;1.479466;0.709692;0.593183
4420;0.975706;0.899143;1.175865;0.108761;0.641671
4430;1.006781;0.495186;0.561615;0.743877;0.423041
4440;1.954173;0.823997;1.376423;1.086898;1.451266
4450;0.779558;0.633384;1.115834;1.359625;0.363939
4460;0.797490;0.956059;0.817354;0.006635;0.977712
4470;1.432658;0.475022;1.356594;0.983124;0.887500
