lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
598.04,1604.732,103.289,3550.289,3538.835,3423.588,2278.485,2184.866,2206.062,2199.753,2365.454,2776.814,2425.969,1950.165,2030.443,1906.072,2059.649,1975.186,2216.423
598.168,1593.598,103.206,3526.99,3506.938,3370.402,2289.464,2185.113,2191.619,2197.371,2373.052,2823.175,2438.722,1948.103,2028.845,1908.732,2049.103,1965.804,2187.443
598.296,1619.845,102.928,3477.093,3482.629,3355.918,2286.237,2185.598,2204.103,2195.268,2366.021,2752.371,2408.784,1932.361,2018.32,1908.577,2029.227,1969.32,2198.144
598.424,1615.763,103.216,3685.66,3683.763,3566.443,2289.918,2172.753,2214.113,2186.433,2361.835,2841.124,2420.99,1935.505,2010.567,1905.309,2016.0,1975.072,2193.897
598.552,1605.763,102.598,3518.381,3516.247,3391.062,2296.464,2187.299,2207.969,2190.753,2365.464,2797.897,2441.928,1941.536,2027.423,1905.485,2030.247,1972.165,2195.474
598.68,1589.948,101.742,3525.701,3506.897,3382.979,2286.155,2173.485,2186.381,2177.155,2345.258,2766.371,2416.175,1931.804,2010.577,1904.443,2019.454,1955.66,2182.856
598.808,1618.969,101.959,3553.093,3535.701,3434.866,2291.474,2170.093,2201.082,2187.515,2385.206,2896.722,2433.887,1952.33,2015.969,1906.969,2021.856,1982.32,2203.773
598.937,1607.454,102.134,3525.99,3498.794,3361.485,2315.526,2200.701,2214.289,2198.278,2373.371,2792.062,2465.361,1966.608,2033.979,1910.732,2057.196,1988.546,2216.186
599.065,1610.691,104.443,3539.814,3511.969,3385.227,2290.412,2196.144,2213.99,2205.804,2367.536,2804.505,2449.701,1942.423,2025.856,1921.34,2049.402,1969.907,2196.165
599.193,1604.866,103.784,3594.629,3559.361,3436.814,2295.835,2193.175,2202.34,2197.082,2370.144,2887.515,2469.32,1930.093,2011.835,1914.062,2024.124,1976.505,2191.969
599.321,1583.928,102.237,3561.309,3543.144,3427.99,2280.773,2179.897,2196.567,2163.515,2369.227,2872.34,2448.402,1930.412,1998.557,1891.722,2011.701,1954.485,2179.062
599.449,1600.969,101.299,3528.577,3495.99,3375.072,2294.144,2194.237,2227.979,2199.557,2382.33,2806.918,2469.629,1951.732,2020.474,1925.485,2045.959,1966.845,2194.206
599.577,1602.876,103.515,3552.412,3496.845,3386.495,2290.711,2188.278,2205.753,2202.474,2367.598,2796.804,2456.845,1937.423,2012.474,1916.258,2031.175,1964.887,2195.608
599.705,1607.959,104.526,3583.536,3551.856,3439.041,2289.474,2174.237,2201.278,2197.258,2374.144,2888.887,2473.433,1945.247,2026.515,1924.175,2038.021,1969.165,2191.062
599.833,1606.485,102.619,3540.0,3516.598,3404.01,2293.485,2192.01,2226.814,2196.093,2363.052,2805.814,2466.464,1955.753,2020.794,1916.216,2033.371,1975.402,2197.711
599.962,1583.216,102.485,3520.227,3499.021,3407.186,2297.258,2189.804,2204.876,2186.68,2365.175,2811.237,2462.01,1946.268,2024.289,1907.887,2023.742,1968.474,2183.979
600.09,1597.186,102.278,3579.206,3556.371,3419.649,2297.495,2197.227,2200.557,2188.01,2382.701,2862.753,2479.536,1952.918,2023.701,1910.34,2046.918,1973.67,2188.856
600.218,1603.567,101.608,3581.99,3557.918,3433.536,2302.381,2197.825,2211.113,2194.948,2368.773,2843.969,2468.268,1953.299,2028.278,1918.546,2030.485,1963.206,2185.381
600.346,1625.763,102.443,3548.32,3530.392,3407.247,2314.247,2201.701,2222.227,2221.381,2391.041,2896.68,2512.515,1959.454,2037.876,1930.99,2032.175,1975.237,2210.309
600.474,1604.711,102.351,3541.753,3534.299,3402.0,2305.32,2192.072,2215.649,2202.938,2377.99,2833.34,2474.938,1956.526,2027.103,1920.093,2037.113,1964.144,2192.598
600.602,1609.505,102.753,3531.567,3512.784,3390.577,2304.536,2214.031,2226.052,2203.361,2373.835,2821.474,2480.515,1964.629,2038.299,1935.072,2042.144,1972.753,2198.588
600.73,1603.32,102.619,3522.34,3488.289,3379.33,2313.928,2196.062,2222.732,2195.361,2370.68,2854.268,2486.619,1970.608,2029.866,1919.371,2041.268,1979.557,2198.918
600.858,1615.216,103.732,3536.907,3494.093,3370.598,2318.639,2206.474,2232.175,2219.309,2394.103,2831.959,2495.134,1972.041,2042.948,1923.856,2048.608,1974.722,2205.948
600.987,1613.052,103.876,3593.629,3562.392,3434.99,2308.907,2201.0,2214.814,2215.443,2375.742,2963.392,2553.856,1963.515,2029.959,1930.0,2039.887,1986.567,2202.99
601.115,1598.062,103.753,3568.649,3571.361,3428.351,2314.278,2212.01,2223.918,2200.278,2364.103,2876.021,2522.144,1953.67,2030.608,1920.825,2026.031,1972.619,2200.082
601.243,1598.856,103.66,3631.763,3616.124,3478.753,2300.711,2211.062,2216.536,2208.619,2380.052,2858.165,2506.351,1952.464,2022.649,1917.052,2040.268,1964.412,2200.464
601.371,1606.835,102.237,3664.856,3632.814,3503.557,2331.186,2233.144,2235.289,2220.598,2401.227,2891.845,2521.495,1977.289,2046.32,1931.969,2052.887,1978.845,2210.227
601.499,1602.351,103.113,3657.639,3613.175,3496.072,2345.258,2244.402,2241.206,2235.247,2399.959,2918.938,2533.495,1979.866,2053.268,1933.969,2045.124,1996.155,2209.784
601.627,1610.598,101.99,3612.155,3581.979,3478.948,2331.392,2228.052,2236.0,2228.68,2401.041,2890.825,2545.546,1970.247,2046.928,1929.082,2050.175,1976.093,2213.598
601.755,1616.216,102.753,3603.742,3559.856,3452.082,2335.938,2235.454,2266.041,2240.918,2405.186,2895.258,2535.722,1971.546,2054.34,1941.639,2071.227,1999.526,2224.134
601.883,1601.32,102.485,3675.144,3637.753,3514.567,2349.196,2246.928,2257.33,2237.588,2412.99,2959.165,2572.175,1981.948,2046.124,1948.0,2068.99,1998.052,2227.33
602.012,1620.67,102.588,3583.763,3535.536,3420.165,2366.124,2253.01,2265.443,2255.68,2425.093,2899.144,2570.763,2000.835,2073.938,1955.144,2059.474,2013.299,2250.814
602.14,1621.505,101.32,3683.433,3662.454,3541.505,2343.649,2245.072,2256.711,2245.485,2410.237,2932.619,2563.763,1999.402,2061.835,1942.124,2071.289,2004.113,2226.433
602.268,1622.742,102.608,3647.371,3619.577,3503.794,2356.155,2262.608,2282.608,2256.969,2449.866,2995.124,2630.454,1997.289,2073.701,1963.814,2073.052,2018.464,2241.701
602.396,1634.619,101.876,3775.814,3746.557,3613.794,2372.515,2264.814,2268.907,2253.691,2427.856,2962.454,2578.876,2009.237,2080.825,1960.258,2092.979,2001.897,2249.278
602.524,1631.32,103.175,3635.928,3601.206,3485.175,2377.515,2267.082,2262.515,2265.134,2434.082,2935.113,2592.175,2009.072,2074.175,1965.598,2082.732,2008.082,2227.082
602.652,1639.856,103.392,3712.825,3689.134,3541.948,2397.608,2278.392,2305.289,2281.258,2450.021,2971.175,2612.825,2021.938,2081.423,1971.567,2091.845,2029.938,2258.67
602.78,1627.041,102.804,3680.299,3663.247,3535.01,2383.134,2281.804,2286.464,2282.567,2460.969,2976.629,2615.485,2025.99,2095.258,1975.443,2108.031,2031.66,2280.938
602.908,1633.66,101.598,3707.753,3674.711,3540.732,2398.216,2284.031,2302.237,2289.0,2458.948,2984.237,2625.34,2042.32,2091.082,1971.546,2109.68,2050.227,2279.33
603.037,1645.103,101.928,3736.918,3727.866,3583.062,2406.649,2306.082,2311.876,2299.866,2501.732,3045.701,2647.546,2054.072,2106.804,1987.68,2120.979,2042.546,2286.639
603.165,1657.732,101.474,3745.691,3716.629,3578.021,2422.072,2312.66,2311.67,2302.979,2474.052,3002.866,2638.082,2041.948,2103.515,1992.134,2111.732,2051.062,2296.866
603.293,1664.443,103.072,3737.969,3695.969,3570.206,2437.711,2319.887,2339.68,2320.33,2484.546,3053.701,2667.299,2056.454,2122.32,2014.227,2124.835,2062.258,2318.732
603.421,1668.32,102.856,3738.454,3726.691,3577.134,2428.021,2320.381,2337.485,2303.392,2505.392,3030.021,2668.247,2056.897,2110.227,2003.711,2132.897,2059.845,2311.876
603.549,1661.649,101.619,3769.773,3725.433,3607.773,2432.34,2325.505,2330.412,2322.485,2483.887,3033.536,2686.0,2051.485,2119.289,1996.093,2130.907,2061.907,2297.619
603.677,1659.402,102.237,3803.258,3759.351,3614.856,2464.216,2343.134,2354.66,2339.722,2529.165,3108.567,2712.34,2076.01,2134.33,2032.845,2151.155,2063.629,2316.742
603.805,1663.309,102.052,3773.402,3733.01,3609.34,2450.041,2345.402,2339.536,2328.969,2505.897,3052.072,2692.351,2070.711,2119.454,2016.082,2146.155,2061.309,2307.732
