lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
603.933,808.165,101.969,1446.062,1341.371,1305.381,1041.247,997.0,952.526,924.608,918.124,1748.649,1441.598,959.268,979.742,902.196,924.567,887.361,927.093
604.062,797.691,102.814,1457.732,1341.402,1311.072,1037.309,995.021,945.907,909.784,909.948,1750.165,1451.134,966.423,983.072,898.691,919.814,884.928,928.918
604.19,811.454,103.134,1455.268,1342.897,1319.227,1058.258,998.371,959.619,923.99,918.237,1753.423,1470.474,964.32,987.649,906.649,934.454,896.66,933.784
604.318,810.794,103.351,1475.794,1355.876,1321.268,1052.278,1000.423,949.351,917.536,922.443,1750.485,1454.443,965.907,988.876,905.361,935.021,884.299,933.784
604.446,808.887,103.381,1455.722,1342.216,1308.175,1057.557,1002.68,960.825,928.278,926.33,1776.505,1474.0,977.216,999.052,915.32,936.196,889.835,935.608
604.574,811.691,103.299,1472.515,1347.041,1321.433,1050.392,993.794,961.268,925.701,927.763,1757.402,1478.474,970.196,999.32,902.928,934.155,886.598,932.66
604.702,807.278,101.99,1472.474,1355.67,1309.495,1061.866,994.433,958.67,932.309,918.175,1782.433,1484.722,970.021,999.99,906.021,926.701,891.794,932.33
604.83,815.856,103.567,1483.412,1350.433,1320.763,1051.515,1011.907,962.227,920.866,925.742,1772.454,1484.99,979.031,997.68,906.711,932.784,887.876,937.918
604.958,818.701,102.32,1476.732,1357.031,1328.33,1052.247,1018.34,973.969,938.495,931.938,1795.619,1512.402,980.959,1003.454,916.505,942.608,897.186,945.577
605.087,818.598,102.052,1483.897,1364.134,1331.423,1078.753,1023.577,982.351,938.515,934.753,1813.464,1522.732,985.402,1013.165,919.557,946.825,904.175,952.577
605.215,821.722,102.216,1487.68,1361.876,1335.557,1072.68,1017.99,976.474,938.155,939.196,1817.505,1518.557,1000.289,1006.732,929.608,950.722,900.897,948.711
605.343,823.412,103.206,1511.794,1380.103,1336.402,1075.155,1022.093,987.227,939.68,930.227,1828.969,1520.454,991.474,1017.309,922.536,949.876,901.825,952.742
605.471,829.577,102.825,1491.598,1365.021,1337.856,1086.835,1032.845,989.876,957.33,946.093,1835.598,1547.866,1002.268,1029.113,938.722,950.515,913.423,957.237
605.599,820.505,102.557,1488.268,1364.103,1341.866,1074.629,1028.959,985.01,939.443,940.732,1825.247,1536.577,984.381,1013.866,925.948,952.567,901.227,957.186
605.727,827.804,102.979,1504.804,1369.134,1340.093,1081.639,1020.175,983.268,944.629,942.845,1835.196,1535.381,1005.588,1022.433,929.588,954.866,919.649,960.433
605.855,825.577,103.144,1498.866,1390.33,1343.959,1080.309,1017.577,979.959,951.505,951.794,1825.969,1547.0,996.062,1015.268,924.897,956.031,911.505,959.567
605.983,821.845,103.113,1499.299,1378.454,1338.247,1076.361,1022.557,979.072,936.082,938.763,1825.639,1540.392,1004.402,1026.639,930.918,955.289,907.124,952.835
606.112,835.598,102.186,1506.959,1377.557,1345.505,1093.196,1033.433,996.732,953.515,951.732,1854.01,1563.32,1007.258,1029.588,933.01,953.423,916.773,966.052
606.24,837.392,103.701,1505.124,1389.866,1353.443,1086.691,1044.144,996.588,960.227,949.99,1848.773,1566.443,1013.206,1028.979,942.268,965.701,919.454,964.732
606.368,832.753,103.526,1518.598,1388.546,1345.68,1096.66,1042.443,981.495,954.072,950.495,1858.804,1579.237,1012.216,1025.505,934.454,959.155,920.165,967.103
606.496,839.495,103.258,1494.773,1380.443,1333.835,1086.835,1040.825,992.68,953.907,941.897,1853.33,1570.052,1012.67,1021.237,931.474,956.433,914.588,957.722
606.624,828.072,101.897,1519.01,1394.144,1346.701,1086.186,1036.299,981.928,947.505,947.082,1865.732,1565.876,1007.227,1032.515,938.938,962.784,914.495,967.876
