omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
25.7,793,793,12.85,26.17051443170129,13.085257215850644,1.7037197867405423
25.8,833,794,12.9,26.27013618743643,13.135068093718216,1.7097452352947697
25.9,805,794,12.95,26.36975794317157,13.184878971585785,1.715765514993264
26.0,818,782,13.0,26.469379698906714,13.234689849453357,1.721780607635678
26.1,794,758,13.05,26.569001454641857,13.284500727320928,1.7277904950373455
26.2,769,735,13.1,26.668623210376996,13.334311605188498,1.7337951590293361
26.3,773,711,13.15,26.76824496611214,13.38412248305607,1.7397945814585123
26.4,751,697,13.2,26.867866721847278,13.433933360923639,1.745788744187582
26.5,699,692,13.25,26.96748847758242,13.48374423879121,1.7517776290951528
26.6,736,687,13.3,27.067110233317564,13.533555116658782,1.75776121807579
26.7,689,682,13.35,27.166731989052703,13.583365994526352,1.7637394930400685
26.8,758,674,13.4,27.266353744787846,13.633176872393923,1.7697124359146286
26.9,679,663,13.45,27.365975500522985,13.682987750261493,1.77568002864223
27.0,672,652,13.5,27.465597256258125,13.732798628129062,1.7816422531818072
27.1,694,641,13.55,27.565219011993268,13.782609505996634,1.7875990915085238
27.2,641,633,13.6,27.664840767728407,13.832420383864203,1.7935505256138264
27.3,635,628,13.65,27.76446252346355,13.882231261731775,1.7994965375055008
27.4,701,623,13.7,27.86408427919869,13.932042139599345,1.8054371092077222
27.5,669,617,13.75,27.963706034933832,13.981853017466916,1.811372222761115
27.6,664,612,13.8,28.063327790668975,14.031663895334487,1.8173018602228048
27.7,615,607,13.85,28.162949546404114,14.081474773202057,1.8232260036664698
27.8,630,602,13.9,28.262571302139257,14.131285651069629,1.829144635182401
27.9,629,597,13.95,28.362193057874396,14.181096528937198,1.8350577368775491
28.0,635,589,14.0,28.46181481360954,14.23090740680477,1.8409652908755856
28.1,595,578,14.05,28.561436569344682,14.280718284672341,1.8468672793169523
28.2,585,567,14.1,28.66105832507982,14.33052916253991,1.852763684358916
28.3,573,556,14.15,28.760680080814964,14.380340040407482,1.8586544881756248
28.4,603,548,14.2,28.8603018365501,14.43015091827505,1.864539672958158
28.5,550,543,14.25,28.959923592285243,14.479961796142621,1.8704192209145853
28.6,561,538,14.3,29.059545348020386,14.529772674010193,1.8762931142700146
28.7,531,533,14.35,29.159167103755525,14.579583551877763,1.8821613352666497
28.8,568,535,14.4,29.258788859490668,14.629394429745334,1.8880238661638433
28.9,544,542,14.45,29.358410615225807,14.679205307612904,1.8938806892381495
29.0,560,549,14.5,29.45803237096095,14.729016185480475,1.8997317867833796
29.1,582,556,14.55,29.557654126696093,14.778827063348047,1.9055771411106524
29.2,605,554,14.6,29.657275882431232,14.828637941215616,1.91141673454845
29.3,584,543,14.65,29.756897638166375,14.878448819083188,1.9172505494426713
29.4,572,532,14.7,29.856519393901515,14.928259696950757,1.9230785681566835
29.5,549,521,14.75,29.956141149636657,14.978070574818329,1.9289007730713785
29.6,515,512,14.8,30.0557629053718,15.0278814526859,1.9347171465852226
29.7,520,506,14.85,30.15538466110694,15.07769233055347,1.9405276711143122
29.8,553,499,14.9,30.255006416842082,15.127503208421041,1.9463323290924266
29.9,546,493,14.95,30.35462817257722,15.17731408628861,1.9521311029710786
30.0,517,485,15.0,30.45424992831236,15.22712496415618,1.9579239752195727
30.1,490,474,15.05,30.553871684047504,15.276935842023752,1.963710928325054
30.2,470,463,15.1,30.653493439782643,15.326746719891322,1.9694919447925605
30.3,476,452,15.15,30.753115195517786,15.376557597758893,1.9752670071450793
30.4,473,447,15.2,30.852736951252925,15.426368475626463,1.9810360979235984
30.5,447,447,15.25,30.95235870698807,15.476179353494034,1.9867991996871566
